excel_row,status,db_id,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
488,exact_match,6977928e2e40cca8d4f827c0,Torah Tots Childcare,York Centre,Toronto,"37 Southbourne Ave, North York, ON M3H 1A4, Canada",Torah Tots Childcare,York Centre,Toronto,"37 Southbourne Ave, North York, ON M3H 1A4, Canada"
489,exact_match,697792962e40cca8d4f82d48,Torah Tots Preschool,York Centre,Toronto,"37 Southbourne Ave, North York, ON M3H 1A4, Canada",Torah Tots Preschool,York Centre,Toronto,"37 Southbourne Ave, North York, ON M3H 1A4, Canada"
490,exact_match,697792902e40cca8d4f8281e,Toronto Cheder,Willowdale,Toronto,"475 Patricia Ave, North York, ON M2R 1Y8, Canada",Toronto Cheder,Willowdale,Toronto,"475 Patricia Ave, North York, ON M2R 1Y8, Canada"
491,exact_match,6977928e2e40cca8d4f827c1,Toronto Hebrew Congregation/Holy Blossom Temple Preschool,Toronto-St. Paul's,Toronto,"1950 Bathurst St, York, ON M5P 3K9, Canada",Toronto Hebrew Congregation/Holy Blossom Temple Preschool,Toronto-St. Paul's,Toronto,"1950 Bathurst St, York, ON M5P 3K9, Canada"
492,exact_match,697792962e40cca8d4f82d49,Trace Manes School (8603758 Canada Inc),Don Valley West,Toronto,"822 Millwood Rd, Toronto, ON M4G 1W4, Canada",Trace Manes School (8603758 Canada Inc),Don Valley West,Toronto,"822 Millwood Rd, Toronto, ON M4G 1W4, Canada"
493,exact_match,697792962e40cca8d4f82d9c,Trust Child Care Inc.,Toronto-St. Paul's,Toronto,"29 Birch Ave, Toronto, ON M4V 1E4, Canada",Trust Child Care Inc.,Toronto-St. Paul's,Toronto,"29 Birch Ave, Toronto, ON M4V 1E4, Canada"
494,exact_match,697792902e40cca8d4f827fd,Ukrainian Co-Op Nursery School,Etobicoke Centre,Toronto,"516 The Kingsway, Toronto, ON M9A 3W6, Canada",Ukrainian Co-Op Nursery School,Etobicoke Centre,Toronto,"516 The Kingsway, Toronto, ON M9A 3W6, Canada"
495,exact_match,697792962e40cca8d4f82d4c,University City Jr YMCA,Humber River-Black Creek,Toronto,"453 Sentinel Rd, North York, ON M3J 1V5, Canada",University City Jr YMCA,Humber River-Black Creek,Toronto,"453 Sentinel Rd, North York, ON M3J 1V5, Canada"
496,exact_match,697792962e40cca8d4f82d51,Viva Kids Academy,Eglington-Lawrence,Toronto,"3420 Yonge St, Toronto, ON M4N 2M8, Canada",Viva Kids Academy,Eglington-Lawrence,Toronto,"3420 Yonge St, Toronto, ON M4N 2M8, Canada"
497,exact_match,697792902e40cca8d4f827ff,Waldorf Academy Childcare Centre,Toronto-St. Paul's,Toronto,"250 Madison Ave, Toronto, ON M4V 2W6, Canada",Waldorf Academy Childcare Centre,Toronto-St. Paul's,Toronto,"250 Madison Ave, Toronto, ON M4V 2W6, Canada"
498,exact_match,697792902e40cca8d4f828bc,Waldorf Academy Childcare Centre-Madison,Toronto-St. Paul's,Toronto,"250 Madison Ave, Toronto, ON M4V 2W6, Canada",Waldorf Academy Childcare Centre-Madison,Toronto-St. Paul's,Toronto,"250 Madison Ave, Toronto, ON M4V 2W6, Canada"
499,exact_match,697792962e40cca8d4f82d52,Waterclub Jr YMCA,Spadina-Fort York,Toronto,"208 Queens Quay W, Toronto, ON M5J 2Y5, Canada",Waterclub Jr YMCA,Spadina-Fort York,Toronto,"208 Queens Quay W, Toronto, ON M5J 2Y5, Canada"
500,exact_match,697792902e40cca8d4f82970,Wedgewood School Age YMCA,Etobicoke Centre,Toronto,"5 Swan Ave, Etobicoke, ON M9B 1V1, Canada",Wedgewood School Age YMCA,Etobicoke Centre,Toronto,"5 Swan Ave, Etobicoke, ON M9B 1V1, Canada"
501,exact_match,6977928e2e40cca8d4f827c4,Wee Leprechauns Child Care Centre Ltd,Don Valley East,Toronto,"235 The Donway E, North York, ON M3B 2Y8, Canada",Wee Leprechauns Child Care Centre Ltd,Don Valley East,Toronto,"235 The Donway E, North York, ON M3B 2Y8, Canada"
502,exact_match,697792902e40cca8d4f82971,Wellesworth School Age YMCA,Etobicoke Centre,Toronto,"225 Wellesworth Dr, Etobicoke, ON M9C 4S5, Canada",Wellesworth School Age YMCA,Etobicoke Centre,Toronto,"225 Wellesworth Dr, Etobicoke, ON M9C 4S5, Canada"
503,exact_match,6977928e2e40cca8d4f82762,West End Jr YMCA,Davenport,Toronto,"931 College St, Toronto, ON M6H 1A1, Canada",West End Jr YMCA,Davenport,Toronto,"931 College St, Toronto, ON M6H 1A1, Canada"
504,exact_match,697792962e40cca8d4f82d9d,West Hill Centre For Early Learning (Centres For Early Learning Inc.),Scarborough-Guildwood,Toronto,"4010 Lawrence Ave E, Scarborough, ON M1E 2R3, Canada",West Hill Centre For Early Learning (Centres For Early Learning Inc.),Scarborough-Guildwood,Toronto,"4010 Lawrence Ave E, Scarborough, ON M1E 2R3, Canada"
505,exact_match,6977928e2e40cca8d4f824bb,"Westmount Junior School, Extended Day Program",Etobicoke Centre,Toronto,"95 Chapman Road, Etobicoke, ON M9P 1E9","Westmount Junior School, Extended Day Program",Etobicoke Centre,Toronto,"95 Chapman Road, Etobicoke, ON M9P 1E9"
506,exact_match,697792902e40cca8d4f82973,Weston Memorial B & A School Program,York South-Weston,Toronto,"200 John St, York, ON M9N 1K2, Canada",Weston Memorial B & A School Program,York South-Weston,Toronto,"200 John St, York, ON M9N 1K2, Canada"
507,exact_match,6977928e2e40cca8d4f82468,Westside Montessori School,University-Rosedale,Toronto,"95 Bellevue Avenue, 57 Sylvan Ave, Toronto, ON M5T 2N8, Canada",Westside Montessori School,University-Rosedale,Toronto,"95 Bellevue Avenue, 57 Sylvan Ave, Toronto, ON M5T 2N8, Canada"
508,exact_match,6977928e2e40cca8d4f8243e,Westside Montessori School,Davenport,Toronto,"95 Bellevue Avenue, 57 Sylvan Ave, Toronto, ON M5T 2N8, Canada",Westside Montessori School,Davenport,Toronto,"95 Bellevue Avenue, 57 Sylvan Ave, Toronto, ON M5T 2N8, Canada"
509,exact_match,697792902e40cca8d4f828aa,Weybourne School,Don Valley West,Toronto,"54 Lawrence Ave E, Toronto, ON M4N 1S3, Canada",Weybourne School,Don Valley West,Toronto,"54 Lawrence Ave E, Toronto, ON M4N 1S3, Canada"
510,exact_match,6977928e2e40cca8d4f82764,William Burgess Jr YMCA,Toronto-Danforth,Toronto,"100 Torrens Ave, East York, ON M4J 2P6, Canada",William Burgess Jr YMCA,Toronto-Danforth,Toronto,"100 Torrens Ave, East York, ON M4J 2P6, Canada"
511,exact_match,697792902e40cca8d4f82975,William G. Miller School Age YMCA,Scarborough-Rouge Park,Toronto,"60 Bennett Rd, Scarborough, ON M1E 3Y3, Canada",William G. Miller School Age YMCA,Scarborough-Rouge Park,Toronto,"60 Bennett Rd, Scarborough, ON M1E 3Y3, Canada"
512,exact_match,6977928e2e40cca8d4f824bc,"Willow Park Junior Public School, Extended Day Program",Scarborough-Guildwood,Toronto,"45 Windover Dr, Scarborough, ON M1G 1P1","Willow Park Junior Public School, Extended Day Program",Scarborough-Guildwood,Toronto,"45 Windover Dr, Scarborough, ON M1G 1P1"
513,exact_match,697792902e40cca8d4f82882,Winchester Site Day Care (Central Neighbourhood House),Toronto Centre,Toronto,"15 Prospect St, Toronto, ON M4X 1C7, Canada",Winchester Site Day Care (Central Neighbourhood House),Toronto Centre,Toronto,"15 Prospect St, Toronto, ON M4X 1C7, Canada"
514,exact_match,697792962e40cca8d4f82d57,Windermere Early Learning Centre,Parkdale-High Park,Toronto,"103 The Queensway, Toronto, ON M6S 5B4, Canada",Windermere Early Learning Centre,Parkdale-High Park,Toronto,"103 The Queensway, Toronto, ON M6S 5B4, Canada"
515,exact_match,6977928e2e40cca8d4f82614,Windermere Kids Inc.,Parkdale-High Park,Toronto,"356 Windermere Ave, Toronto, ON M6S 3L3, Canada",Windermere Kids Inc.,Parkdale-High Park,Toronto,"356 Windermere Ave, Toronto, ON M6S 3L3, Canada"
516,exact_match,697792902e40cca8d4f82883,Withrow Child Care Centre,Toronto-Danforth,Toronto,"25 Bain Ave, Toronto, ON M4K 1E5, Canada",Withrow Child Care Centre,Toronto-Danforth,Toronto,"25 Bain Ave, Toronto, ON M4K 1E5, Canada"
517,partial_match,6977928e2e40cca8d4f827c5,Woodland Nursery School (Warden Woods Community Centre),Scarborough¬†Southwest,Toronto,"1 Firvalley Ct, Scarborough, ON M1L 1N8",Woodland Nursery School (Warden Woods Community Centre),Scarborough Southwest,Toronto,Not Found
518,exact_match,697792962e40cca8d4f82c6a,YMCA Child Development Centre (YMCA),Toronto Centre,Toronto,"15 Breadalbane St, Toronto, ON M4Y 1C2, Canada",YMCA Child Development Centre (YMCA),Toronto Centre,Toronto,"15 Breadalbane St, Toronto, ON M4Y 1C2, Canada"
519,exact_match,697792962e40cca8d4f82c6b,YMCA Of Greater Toronto - St Augustine,Humber River-Black Creek,Toronto,"98 Shoreham Dr, North York, ON M3N 1S9, Canada",YMCA Of Greater Toronto - St Augustine,Humber River-Black Creek,Toronto,"98 Shoreham Dr, North York, ON M3N 1S9, Canada"
520,exact_match,6977928e2e40cca8d4f827c6,Young Talents Academy,Don Valley North,Toronto,"2255 Sheppard Ave E Suite 100, North York, ON M2J 4Y1, Canada",Young Talents Academy,Don Valley North,Toronto,"2255 Sheppard Ave E Suite 100, North York, ON M2J 4Y1, Canada"
