excel_row,status,db_id,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
417,exact_match,697792962e40cca8d4f82d2e,Romero Bears Child Care Centre,York South-Weston,Toronto,"99 Humber Boulevard Toronto, ON M6N 2H4",Romero Bears Child Care Centre,York South-Weston,Toronto,"99 Humber Boulevard Toronto, ON M6N 2H4"
418,exact_match,6977928e2e40cca8d4f82499,Rosedale Moore Park Association/Mooredale Preschool - Coach House,University-Rosedale,Toronto,"146 Crescent Road, Toronto, ON, M4W 1V2",Rosedale Moore Park Association/Mooredale Preschool - Coach House,University-Rosedale,Toronto,"146 Crescent Road, Toronto, ON, M4W 1V2"
419,exact_match,6977928e2e40cca8d4f82745,Roseland Day Care Centre,York South-Weston,Toronto,"990 Jane Street,Toronto Ontario M6N 4E2",Roseland Day Care Centre,York South-Weston,Toronto,"990 Jane Street,Toronto Ontario M6N 4E2"
420,exact_match,697792902e40cca8d4f82954,Rosethorn Before And After School Program,Etobicoke Centre,Toronto,"2 Remington Drive, Toronto, ON M9A 2J1",Rosethorn Before And After School Program,Etobicoke Centre,Toronto,"2 Remington Drive, Toronto, ON M9A 2J1"
421,exact_match,6977928e2e40cca8d4f82746,Rouge Valley Jr YMCA,Scarborough-Rouge Park,Toronto,"30 Durnford Road, Scarborough, ON M1B 4X3",Rouge Valley Jr YMCA,Scarborough-Rouge Park,Toronto,"30 Durnford Road, Scarborough, ON M1B 4X3"
422,exact_match,6977928e2e40cca8d4f8260b,Royal York Childcare Inc,Etobicoke-Lakeshore,Toronto,"74 Royal York Rd, Etobicoke, ON M8V 2T6",Royal York Childcare Inc,Etobicoke-Lakeshore,Toronto,"74 Royal York Rd, Etobicoke, ON M8V 2T6"
423,exact_match,6977928e2e40cca8d4f827b0,Royal York Road School,Etobicoke-Lakeshore,Toronto,"851 Royal York Rd., Etobicoke, ON M8Y 2V3",Royal York Road School,Etobicoke-Lakeshore,Toronto,"851 Royal York Rd., Etobicoke, ON M8Y 2V3"
424,exact_match,697792962e40cca8d4f82faa,Roywood Child Care North York,Don Valley East,Toronto,"11 Roywood Dr, North York, ON M3A 2C7",Roywood Child Care North York,Don Valley East,Toronto,"11 Roywood Dr, North York, ON M3A 2C7"
425,exact_match,697792902e40cca8d4f82955,Runnymede Adventure Club,Parkdale-High Park,Toronto,"357 Runnymede Rd, Toronto, ON M6S 2Y7",Runnymede Adventure Club,Parkdale-High Park,Toronto,"357 Runnymede Rd, Toronto, ON M6S 2Y7"
426,exact_match,6977928e2e40cca8d4f827b1,Toronto Metropolitan University Early Learning Centre,Toronto Centre,Toronto,"First Floor, Kerr Hall South West corner, 40 Gould St, Toronto, ON M5B 1X8",Toronto Metropolitan University Early Learning Centre,Toronto Centre,Toronto,"First Floor, Kerr Hall South West corner, 40 Gould St, Toronto, ON M5B 1X8"
