status,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
exact_match,Our Lady Of Grace Jr YMCA,Scarborough North,Toronto,"121 Brimwood Boulevard, Scarborough, ON M1V 1E5",Our Lady Of Grace Jr YMCA,Scarborough North,Toronto,"121 Brimwood Boulevard, Scarborough, ON M1V 1E5"
exact_match,Our Lady Of Peace School Age Program (YMCA),Etobicoke Centre,Toronto,"70 Mattice Avenue, Etobicoke, ON M9B 1T6",Our Lady Of Peace School Age Program (YMCA),Etobicoke Centre,Toronto,"70 Mattice Avenue, Etobicoke, ON M9B 1T6"
exact_match,Our Lady Of Sorrows School Age YMCA,Etobicoke-Lakeshore,Toronto,"32 Montgomery Road, Etobicoke, ON M8X 1Z4",Our Lady Of Sorrows School Age YMCA,Etobicoke-Lakeshore,Toronto,"32 Montgomery Road, Etobicoke, ON M8X 1Z4"
exact_match,Our Lady Of Victory School Age YMCA,York South-Weston,Toronto,"70 Guestville Avenue, Toronto, ON M6N 4N3",Our Lady Of Victory School Age YMCA,York South-Weston,Toronto,"70 Guestville Avenue, Toronto, ON M6N 4N3"
exact_match,Our Lady Of Wisdom YMCA,Scarborough Centre,Toronto,"10 Japonica Road, Scarborough, ON M1R 4R7",Our Lady Of Wisdom YMCA,Scarborough Centre,Toronto,"10 Japonica Road, Scarborough, ON M1R 4R7"
exact_match,Palmerston Community Daycare,University-Rosedale,Toronto,"736 Euclid Ave, Toronto, ON M6G 2V2",Palmerston Community Daycare,University-Rosedale,Toronto,"736 Euclid Ave, Toronto, ON M6G 2V2"
exact_match,Pape Children's House,Toronto-Danforth,Toronto,"540 Jones Ave, Toronto, ON M4J 3G9",Pape Children's House,Toronto-Danforth,Toronto,"540 Jones Ave, Toronto, ON M4J 3G9"
exact_match,Parkdale Early Learning Centre - CDI - 119 Close Ave.,Parkdale-High Park,Toronto,"119 Close Ave, Toronto, ON M6K 1H6",Parkdale Early Learning Centre - CDI - 119 Close Ave.,Parkdale-High Park,Toronto,"119 Close Ave, Toronto, ON M6K 1H6"
exact_match,Park Lawn Preschool,Etobicoke-Lakeshore,Toronto,"71 Ballacaine Dr, Toronto, ON M8Y 4B6",Park Lawn Preschool,Etobicoke-Lakeshore,Toronto,"71 Ballacaine Dr, Toronto, ON M8Y 4B6"
exact_match,"Parkside Elementary School, Extended Day Program",Beaches-East York,Toronto,"401 Cedarvale Ave, East York, ON, M4C4K7","Parkside Elementary School, Extended Day Program",Beaches-East York,Toronto,"401 Cedarvale Ave, East York, ON, M4C4K7"
exact_match,Parkway Forest YMCA,Don Valley North,Toronto,"55 Forest Manor Rd., North York, ON M2J 0C2",Parkway Forest YMCA,Don Valley North,Toronto,"55 Forest Manor Rd., North York, ON M2J 0C2"
exact_match,Pauline Johnson School Age YMCA,Scarborough-Agincourt,Toronto,"35 Dunmurray Boulevard, Scarborough, ON M1T 2K2",Pauline Johnson School Age YMCA,Scarborough-Agincourt,Toronto,"35 Dunmurray Boulevard, Scarborough, ON M1T 2K2"
exact_match,Percy Williams YMCA,Scarborough North,Toronto,"35 White Heather Blvd., Scarborough, ON M1V1P6",Percy Williams YMCA,Scarborough North,Toronto,"35 White Heather Blvd., Scarborough, ON M1V1P6"
exact_match,Perth Avenue Early Learning Centre,Davenport,Toronto,"14 Ruskin Avenue, Toronto Ontario M6P 3P8",Perth Avenue Early Learning Centre,Davenport,Toronto,"14 Ruskin Avenue, Toronto Ontario M6P 3P8"
exact_match,Petitecare,Toronto-Danforth,Toronto,"1419 Gerrard St E, Toronto, ON M4L 1Z7",Petitecare,Toronto-Danforth,Toronto,"1419 Gerrard St E, Toronto, ON M4L 1Z7"
exact_match,Petite Maison Montessori,Toronto-Danforth,Toronto,"126 O'Connor Dr, East York, ON M4K 2K7",Petite Maison Montessori,Toronto-Danforth,Toronto,"126 O'Connor Dr, East York, ON M4K 2K7"
exact_match,Phoenix Montessori School Inc.,Etobicoke-Lakeshore,Toronto,"2 Station Rd, Etobicoke, ON M8V 2P9",Phoenix Montessori School Inc.,Etobicoke-Lakeshore,Toronto,"2 Station Rd, Etobicoke, ON M8V 2P9"
exact_match,Pinnacle Jr YMCA,Spadina-Fort York,Toronto,"12 Yonge Street, Toronto, ON M5V 1Z9",Pinnacle Jr YMCA,Spadina-Fort York,Toronto,"12 Yonge Street, Toronto, ON M5V 1Z9"
exact_match,Plains Road Child Care Inc.,Beaches-East York,Toronto,"520 Plains Rd, East York, ON M4C 2Z1",Plains Road Child Care Inc.,Beaches-East York,Toronto,"520 Plains Rd, East York, ON M4C 2Z1"
exact_match,Plasp All Saints Catholic School,Etobicoke Centre,Toronto,"1435 Royal York Rd, Etobicoke, ON M9P 3A7",Plasp All Saints Catholic School,Etobicoke Centre,Toronto,"1435 Royal York Rd, Etobicoke, ON M9P 3A7"
exact_match,Plasp Bennington Heights Ps,Don Valley West,Toronto,"76 Bennington Heights Dr, East York, ON M4G 2Y7",Plasp Bennington Heights Ps,Don Valley West,Toronto,"76 Bennington Heights Dr, East York, ON M4G 2Y7"
exact_match,Plasp Blessed Sacrament C.S.,Eglington-Lawrence,Toronto,"24 Bedford Park Ave, Toronto, ON M5M 1K5",Plasp Blessed Sacrament C.S.,Eglington-Lawrence,Toronto,"24 Bedford Park Ave, Toronto, ON M5M 1K5"
exact_match,Plasp Blythwood Junior Public School,Don Valley West,Toronto,"2 Strathgowan Crescent, Toronto, ON M4N 2Z5",Plasp Blythwood Junior Public School,Don Valley West,Toronto,"2 Strathgowan Crescent, Toronto, ON M4N 2Z5"
exact_match,Plasp - David Hornell Junior School,Etobicoke-Lakeshore,Toronto,"32 Victoria St, Etobicoke, ON M8V 1M6",Plasp - David Hornell Junior School,Etobicoke-Lakeshore,Toronto,"32 Victoria St, Etobicoke, ON M8V 1M6"
